390778;U3;84
430793;U3;110
473624;U3;101
475392;U3;94
478519;U3;93
480387;U3;95
481386;U3;58
514020;U3;81
521372;U3;58
525051;U3;101
525200;U3;57
525653;U3;110
525747;U3;101
525750;U3;103
525763;U3;110
526021;U3;94
526128;U3;94
526212;U3;84
526775;U3;58
526885;U3;110
527606;U3;94
527826;U3;58
529057;U3;110
529138;U3;89
529196;U3;63
529581;U3;93
529992;U3;110
530130;U3;91
530143;U3;101
530266;U3;61
530389;U3;93
530839;U3;94
530868;U3;110
544867;U3;58
54842K;U3;68
552820;U3;89
552969;U3;58
585224;U3;93
585813;U3;101
588166;U3;101
588470;U3;101
588713;U3;94
588823;U3;74
589518;U3;101
592071;U3;101
592767;U3;89
593177;U3;101
593504;U3;101
594626;U3;101
594930;U3;93
597539;U3;101
598266;U3;93
602945;U3;101
603355;U3;110
605612;U3;94
605793;U3;101
60882H;U3;110
612786;U3;110
